ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|79fb86295697c35cea4a67de6f14b299|2021-04-23|01:34:06|1619121846|grocery_pos|358.29|1|fraud_Kunze Inc|36.608456|-120.246789
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|537a168394fc96d928f7c01eb1faebdd|2021-04-23|00:37:16|1619118436|misc_pos|329.76|1|fraud_Nienow, Ankunding and Collier|36.122880|-120.320892
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|59ff6f72413d8526d7789aa79e161339|2021-04-24|01:47:39|1619209059|shopping_pos|369.24|1|fraud_Pacocha-Bauch|34.988370|-121.370159
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|b7a0d557af40250118f3fe5a655334f7|2021-04-23|01:40:18|1619122218|shopping_net|756.96|1|fraud_Fisher-Schowalter|36.565798|-119.652594
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|3be9725a46473d30d21a7f8220a9a92d|2021-04-23|03:57:48|1619130468|grocery_pos|729.22|1|fraud_Cartwright-Harris|36.214289|-119.375258
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|95c6f46c37f7d93d0abbda0bbf95c219|2021-04-23|01:51:23|1619122883|shopping_net|998.28|1|fraud_Gerlach Inc|35.816284|-119.724064
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|332b5128b3a9f80208dab876c627585c|2021-04-23|07:59:33|1619144973|grocery_pos|1000.38|1|fraud_O'Keefe-Hudson|35.090409|-120.927870
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|5a464e570b9bb0e0c8e6e2b201aa3c05|2021-04-23|00:13:37|1619117017|misc_pos|823.26|1|fraud_McGlynn-Jaskolski|36.448609|-121.061470
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|0904b728df44e97b2da62660e1b5ea43|2021-04-24|22:38:22|1619284102|home|263.07|1|fraud_Windler, Goodwin and Kovacek|35.341166|-119.470787
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json|052659f0f03d75b4c66781aec799305a|2021-04-24|23:48:42|1619288322|home|261.73|1|fraud_Padberg-Sauer|35.534121|-120.448397
