ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|ece5be8c4ae69a4443ef442b2def6b17|2020-12-22|05:26:02|1608594962|gas_transport|10.42|1|fraud_Cummings LLC|39.873727|-95.833610
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|c4ef21179ef344e939868d5b02646eba|2020-12-22|03:01:07|1608586267|grocery_pos|329.59|1|fraud_Kutch and Sons|40.285832|-95.869014
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|b36a8dbb21b34c1468be4b3757d1ae5a|2020-12-22|01:41:58|1608581518|grocery_pos|285.91|1|fraud_Schoen, Kuphal and Nitzsche|40.712445|-97.348675
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|855d6c1af2b70f83d3c4a64947b72303|2020-12-22|16:30:22|1608634822|grocery_pos|286.49|1|fraud_Bradtke PLC|39.997299|-95.781229
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|6300610a7813e69874c7a09f61f1d22f|2020-12-23|22:14:43|1608741883|shopping_net|832.49|1|fraud_Greenholt, O'Hara and Balistreri|40.152045|-96.321956
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|f55012ef2b64923e78d8b03c714d8904|2020-12-23|23:13:23|1608745403|misc_net|913.92|1|fraud_Tillman, Fritsch and Schmitt|39.845600|-95.596146
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|05bfa6a804422dc008d92a7396c0385b|2020-12-23|23:05:12|1608744912|travel|989.60|1|fraud_Kunze, Larkin and Mayert|41.257209|-96.101786
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|3e9dd498b05a2fb89cb6b357b10360a6|2020-12-23|23:47:38|1608747458|shopping_net|1168.96|1|fraud_Gerlach Inc|39.740268|-95.923193
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|508230ad5c1572b4bc7eac03e64bad0a|2020-12-23|14:33:33|1608714213|entertainment|870.58|1|fraud_Thiel-Thiel|39.850141|-96.810733
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|e2ff790359a44ba96f3fde400b9abff6|2020-12-23|23:32:14|1608746534|shopping_net|926.50|1|fraud_Heathcote LLC|39.912334|-96.184772
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|e83adc7a3d6c3e47ad0f8410b7065698|2020-12-23|22:35:59|1608743159|shopping_net|1137.40|1|fraud_Boyer-Reichert|40.688438|-95.600633
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|aafe930bfb7bf912da59b5572361905b|2020-12-23|22:14:40|1608741880|shopping_net|533.15|1|fraud_Gleason-Macejkovic|40.697507|-95.661294
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|ef05b48f3f48038b50de8cffa04f84ab|2020-12-23|23:48:56|1608747536|shopping_net|24.08|1|fraud_Mohr-Bayer|40.979846|-95.669325
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|3c98576760dab98fb845b1040a481e57|2020-12-23|22:42:45|1608743565|kids_pets|9.59|1|fraud_Schaefer Ltd|41.356840|-96.199952
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|4fc713c10ca967b3e653e036d1273a09|2021-03-27|00:13:08|1616784188|shopping_pos|61.36|0|fraud_Jacobi and Sons|40.557379|-95.682778
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|99f81b071960ed3de60b54ff346e627f|2020-08-09|09:18:04|1596944884|grocery_pos|70.08|0|fraud_Doyle Ltd|40.622041|-95.541319
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|29a00f541ba2d9763dbeca3469f671cb|2020-08-17|04:55:48|1597620348|grocery_pos|67.40|0|fraud_Casper, Hand and Zulauf|40.906734|-96.704792
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|1c8d0ab615b6854b2a0adf7e47829a98|2021-04-30|03:53:50|1619735030|shopping_pos|74.99|0|fraud_Baumbach, Strosin and Nicolas|40.753819|-97.049799
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|ea27a76877a9cc17f3afa1be24b7cdc7|2020-06-12|07:36:03|1591927563|grocery_pos|76.00|0|fraud_Strosin-Cruickshank|39.846155|-97.183378
308-87-6450|4354159709962540|Corey|Ramirez|M|5203 Baker Meadows|Palmyra|NE|68418|40.705|-96.3999|1070|Leisure centre manager|1973-03-26|296526499506|adults_2550_male_rural.json|2b5bdcdbfd414955e1a3f08bd68ef970|2021-04-04|09:26:58|1617508618|shopping_pos|72.62|0|fraud_Torphy-Goyette|41.398839|-95.421476
