ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|05eb7924c3e0f3bf1bd86c50550bb392|2021-04-18|01:41:18|1618690278|grocery_pos|18.85|1|fraud_Kutch and Sons|40.209991|-98.499752
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|1ca65c163e6cf990c66ec7f450c66783|2021-04-18|02:47:57|1618694277|grocery_net|12.55|1|fraud_Smitham-Schiller|39.546506|-99.026946
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|8527e3fff1e6669f3b0b8b169dd371d5|2021-04-18|00:54:11|1618687451|grocery_pos|295.75|1|fraud_Schamberger-O'Keefe|40.137738|-98.025548
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|79b963dd13a0d63bd59d496495127c8d|2021-04-18|01:37:58|1618690078|grocery_pos|341.80|1|fraud_Goldner, Kovacek and Abbott|39.630602|-98.576967
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|96d14665471cc6111c2821fdd67cebde|2021-04-18|01:03:21|1618688001|grocery_pos|289.06|1|fraud_Schamberger-O'Keefe|39.696561|-97.380844
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|b62f24f2acba6fb123e9164f1d2ce5cd|2021-04-18|00:09:41|1618684781|gas_transport|299.54|1|fraud_Streich, Hansen and Veum|39.215700|-98.397998
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|45b3597261c168b776b05d64237c02a9|2021-04-19|23:17:06|1618854426|shopping_net|323.93|1|fraud_Stanton, Jakubowski and Baumbach|40.201315|-97.451222
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|d532529437c4571f553ddb70d880a07e|2021-04-19|23:11:31|1618854091|shopping_pos|1009.58|1|fraud_Bernhard, Grant and Langworth|39.216681|-97.916986
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|f9cdc048074bd1479e7a4b0569d7eb7c|2021-04-18|20:42:19|1618758739|shopping_net|1085.34|1|fraud_Kihn, Abernathy and Douglas|39.401994|-98.662716
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|fc4531e5381bd9e1e3b2e90fc2f98e33|2021-04-18|22:45:39|1618766139|grocery_pos|1041.14|1|fraud_Kutch and Sons|40.748607|-98.445940
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|f6d03ca5dab8111436d238190eb76885|2021-04-19|23:27:06|1618855026|personal_care|709.63|1|fraud_Emmerich-Rau|40.450669|-98.009440
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|a2789ac8bb6e640156e01b2f4c8fd374|2021-04-19|22:42:04|1618852324|shopping_net|663.42|1|fraud_Heathcote, Yost and Kertzmann|39.188413|-98.119920
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|5a371f12dc7c04c495d6eab9bbf1f67f|2021-04-19|22:00:39|1618849839|shopping_pos|48.22|1|fraud_Mohr Inc|40.210584|-98.633999
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|a2a9cee6ae5a4f30b8bb12af855f79d7|2021-07-08|03:07:35|1625693855|shopping_pos|60.21|0|fraud_Haley, Jewess and Bechtelar|40.244229|-98.422059
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|7fd3ba4c99fc9f02c4199e0ee1f15bff|2020-06-13|11:05:44|1592026544|gas_transport|91.20|0|fraud_Heller-Langosh|40.252400|-97.277297
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|c73396b20b5459bff15130c4a03e57d5|2020-01-02|06:18:01|1577926081|gas_transport|61.84|0|fraud_Prohaska-Murray|40.012504|-98.879096
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|8e8aeabf60090cd760431328800358bb|2020-05-30|08:23:48|1590807228|gas_transport|39.43|0|fraud_Kuvalis Ltd|39.592862|-97.154118
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|abf3c5412181ab81c4379629517a93b2|2020-04-04|11:01:53|1585978313|gas_transport|58.17|0|fraud_Schaefer, Maggio and Daugherty|40.289023|-97.081296
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|3205c46260c982537f8869599af58d30|2020-12-30|09:09:30|1609299570|misc_pos|62.70|0|fraud_Wisozk and Sons|40.823140|-97.461305
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|2c4d06b08b2ad8fe68f2fcbdab6db4eb|2021-04-14|05:14:31|1618357471|shopping_net|35.96|0|fraud_Bashirian Group|39.182103|-98.227745
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|910d2bb3863864f7ee2c39e6f52e5b2d|2020-07-31|11:37:09|1596175629|grocery_pos|42.25|0|fraud_Kiehn-Emmerich|39.646459|-98.359083
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json|8b86ca2c2a407ad371e2bd1a4a08b006|2021-04-24|08:48:51|1619234331|shopping_net|60.69|0|fraud_Lemke-Gutmann|39.235569|-97.831597
