ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Redlands|CA|92373|34.0397|-117.1804|73690|Accounting technician|1966-10-03|888022315787|adults_50up_female_urban.json
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Simi Valley|CA|93065|34.2656|-118.7653|126874|Professor Emeritus|1965-06-07|917558277935|adults_50up_male_urban.json
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Meridian|MS|39307|32.3736|-88.7436|67084|International aid/development worker|1993-05-30|718172762479|adults_2550_female_urban.json
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Miami|FL|33132|25.7867|-80.18|1737737|Seismic interpreter|1992-12-26|947268892251|adults_2550_female_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Saint Joseph|MO|64503|39.734|-94.8171|87116|Medical laboratory scientific officer|1992-05-22|888335239225|adults_2550_male_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|De Pere|WI|54115|44.4388|-88.0806|41178|Community arts worker|1991-06-18|245877882397|adults_2550_female_urban.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Cynthiana|KY|41031|38.3964|-84.2949|15886|Plant breeder/geneticist|2002-03-06|465378164447|young_adults_male_urban.json
479-94-0888|4065133387262473|Danielle|Leblanc|F|108 Tanya Terrace Apt. 267|Las Vegas|NV|89131|36.2956|-115.2419|1417793|Quarry manager|1951-12-27|950105810049|adults_50up_female_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Gouldsboro|PA|18424|41.2448|-75.5037|5613|Retail buyer|1950-08-23|940251608167|adults_50up_male_urban.json
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Pittsburgh|PA|15238|40.5346|-79.8805|687276|Acupuncturist|1994-01-26|684868121383|adults_2550_female_urban.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Elkhart|IN|46514|41.7101|-85.9729|97528|Surgeon|1981-02-26|297020387114|adults_2550_male_urban.json
620-27-5618|4874016400529|Mark|Green|M|680 Charles Spurs Apt. 805|Wilton|CT|06897|41.2018|-73.4383|18071|Television floor manager|1973-08-02|161286867170|adults_2550_male_urban.json
131-06-5051|345331586923222|Sierra|Johnson|F|3421 Brennan Walks Suite 337|Las Vegas|NV|89149|36.2765|-115.2885|1417793|Maintenance engineer|1946-08-16|903253916954|adults_50up_female_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Springfield|OH|45503|39.9528|-83.7804|101826|Commercial art gallery manager|1964-09-29|989496879843|adults_50up_female_urban.json
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|Alexandria|VA|22314|38.806|-77.0529|321490|Optician, dispensing|1969-08-14|917181406434|adults_50up_female_urban.json
312-37-3444|6577738721489511|Sabrina|Potter|F|32003 Carr Trafficway Apt. 769|Saint Helens|OR|97051|45.8608|-122.8282|15957|Engineer, broadcasting (operations)|1965-01-06|767589450881|adults_50up_female_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Corona|CA|92881|33.8241|-117.5198|233717|Health and safety inspector|1967-01-23|857987636625|adults_50up_female_urban.json
497-81-3920|4143455812236231660|Gary|Owens|M|66909 Woods Knoll|Oxnard|CA|93036|34.2351|-119.182|211523|Hydrogeologist|1961-09-26|428437913341|adults_50up_male_urban.json
552-96-8948|3573467065627293|Kimberly|Meadows|F|62720 Gray Forest|Seattle|WA|98122|47.6116|-122.3056|837792|Programme researcher, broadcasting/film/video|1996-04-04|370770979513|adults_2550_female_urban.json
285-97-6907|4708053100330923275|Maureen|Elliott|F|4529 Kimberly Estates|Herrin|IL|62948|37.8019|-89.0232|12865|Insurance risk surveyor|1981-11-24|636119440405|adults_2550_female_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Oklahoma City|OK|73132|35.5583|-97.6375|640470|Solicitor|1955-11-15|531608037091|adults_50up_female_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Denton|MD|21629|38.8595|-75.8357|9555|Recycling officer|1965-10-26|869508288813|adults_50up_male_urban.json
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Katy|TX|77494|29.7404|-95.8304|250975|Therapist, speech and language|1946-08-02|915259790398|adults_50up_male_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Philadelphia|PA|19149|40.0369|-75.0664|1526206|Astronomer|1993-08-09|163860419795|adults_2550_female_urban.json
312-11-4067|2706999386774968|Elizabeth|Oliver|F|34123 Andrea Estate|Surprise|AZ|85374|33.63|-112.3314|119941|Accountant, chartered|1995-02-24|495675808653|adults_2550_female_urban.json
482-38-0535|4471349361831|Maria|Kerr|F|02499 Gonzales Mountain|Sauk City|WI|53583|43.2686|-89.7418|5747|Industrial buyer|1967-03-15|445386964769|adults_50up_female_urban.json
513-70-8091|30190659401395|Laurie|Smith|F|027 Moon Falls Suite 717|Jacksonville|AR|72076|34.919|-92.1419|37979|Magazine features editor|1958-04-06|366826061886|adults_50up_female_urban.json
687-14-2635|377468071545168|Sean|Bryan|M|876 Jacob Lake|Auburn Hills|MI|48326|42.6583|-83.2375|20298|Writer|1966-12-03|548709745211|adults_50up_male_urban.json
453-98-0846|4824771093241|Krista|Tran|F|17127 Hicks Groves|Long Beach|CA|90813|33.782|-118.1835|471952|Pathologist|1929-04-12|531866089440|adults_50up_female_urban.json
250-59-9032|4398214658404495|Kevin|Keller|M|8755 Gibson Islands|Saint Augustine|FL|32092|29.9475|-81.5264|109984|Energy engineer|1969-01-25|768716573635|adults_50up_male_urban.json
586-50-3827|6011576627028957|Sheila|Sawyer|F|87026 Charles Tunnel Suite 596|Lincoln|IL|62656|40.1451|-89.3684|20405|Catering manager|1989-02-15|364435556959|adults_2550_female_urban.json
880-69-6227|378091343161173|Carol|Evans|F|50455 Thomas Pines|Clinton|MD|20735|38.7549|-76.9026|35421|Paramedic|1953-12-11|749754952027|adults_50up_female_urban.json
175-23-1294|3593792374740743|Megan|Moore|F|9464 Bruce Flat Suite 713|Bismarck|ND|58504|46.7231|-100.678|78133|Museum/gallery curator|1966-02-15|393298413208|adults_50up_female_urban.json
303-90-4838|676364090974|Sandra|Leach|F|533 Byrd Stravenue|Saint Petersburg|FL|33710|27.7898|-82.7243|341043|Copywriter, advertising|2001-07-23|105777520189|young_adults_female_urban.json
662-06-5062|30095214562328|Richard|Walter|M|842 Sloan Orchard Suite 517|Burlington|NC|27217|36.1288|-79.4114|75761|Call centre manager|1955-05-07|829533234908|adults_50up_male_urban.json
881-87-6512|180016048175499|James|Little|M|37098 Herman Forges Apt. 746|Austin|TX|78759|30.4036|-97.7526|940359|Commercial horticulturist|1954-09-04|47844977968|adults_50up_male_urban.json
312-64-1903|2248267586926175|Luis|Crosby|M|53773 Garcia Spur Suite 850|Saint Louis|MO|63136|38.7196|-90.27|927396|Occupational therapist|1963-04-07|207343331995|adults_50up_male_urban.json
869-59-1502|4900532931839331|Gary|Hernandez|M|2284 Daniel Way|Oklahoma City|OK|73120|35.5835|-97.5638|640470|Agricultural engineer|1930-02-27|13450992449|adults_50up_male_urban.json
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Saint Helens|OR|97051|45.8608|-122.8282|15957|Biochemist, clinical|1938-03-10|528274907582|adults_50up_female_urban.json
437-88-1769|38115921249985|Michelle|James|F|8961 Melissa Run Apt. 673|Danville|IN|46122|39.7628|-86.5343|14671|Patent attorney|2000-08-31|907693799652|young_adults_female_urban.json
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Ocala|FL|34471|29.1605|-82.1288|207224|Management consultant|1982-06-06|631805153549|adults_2550_female_urban.json
218-20-7901|4585149368991|Megan|Hawkins|F|24455 Howard Divide Suite 120|Smithton|IL|62285|38.4231|-89.9896|4484|Chemist, analytical|1978-04-06|583025110578|adults_2550_female_urban.json
386-54-7433|345459910229014|Dillon|Stanley|M|764 Kari Crescent Suite 614|Floresville|TX|78114|29.1693|-98.1936|20103|Therapist, horticultural|1953-04-27|577615689420|adults_50up_male_urban.json
316-06-3613|6011034324451072|Paul|Thompson|M|388 Jones Wall Apt. 607|Saint James|NY|11780|40.8813|-73.1591|15524|Careers adviser|1986-09-12|347300118003|adults_2550_male_urban.json
440-74-6627|3541605297516136|Jessica|Morales|F|4535 Charles Roads|New York City|NY|10001|40.7484|-73.9967|1577385|Clothing/textile technologist|1995-08-04|560624678846|adults_2550_female_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Philadelphia|PA|19122|39.978|-75.1459|1526206|Management consultant|1944-08-06|79488406665|adults_50up_female_urban.json
473-58-0617|584119986795|Kristen|Conner|F|9359 Mason Circle|Dover Plains|NY|12522|41.7351|-73.587|5172|Production designer, theatre/television/film|1957-07-24|889502767451|adults_50up_female_urban.json
