ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|cb0fee6e67f2c05887c33c71eace6097|2022-01-01|01:09:22|1640979562|grocery_pos|6.67|1|fraud_Heidenreich PLC|31.766600|-95.235431
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|a1a65a6a40e2e2ddb588a21dbadeece9|2022-01-01|08:27:38|1641005858|grocery_pos|304.79|1|fraud_Schamberger-O'Keefe|31.102178|-94.271845
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|91799bf28d9242416b6e3f7fc8d7422a|2022-01-01|03:33:06|1640988186|gas_transport|289.40|1|fraud_Erdman-Kertzmann|31.278842|-95.752246
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|e242cd23c068c6b6e2bfc56fa6e5cbbf|2022-01-01|01:40:52|1640981452|grocery_pos|277.39|1|fraud_Padberg-Welch|31.711136|-94.150315
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|e7a3910a09adfca670875ab348550921|2022-01-01|00:01:05|1640975465|grocery_pos|285.34|1|fraud_Casper, Hand and Zulauf|30.696897|-95.527230
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|046a71e02bbff1f9e596883b5924af59|2022-01-01|08:05:38|1641004538|grocery_pos|293.50|1|fraud_Kuhic Inc|31.928624|-94.471778
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|286c46c1caad4a31a706734535a63e2c|2022-01-02|15:05:04|1641116104|shopping_net|1041.73|1|fraud_Heathcote LLC|31.078489|-93.876416
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|f96b8eec521ca0f6b32ff8ebb7326c02|2022-01-02|23:57:43|1641148063|kids_pets|1088.57|1|fraud_Goyette-Gerhold|31.469536|-95.610315
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|730d358964e01c1e006b03cd105ed7ab|2022-01-01|15:40:01|1641031801|shopping_net|1000.52|1|fraud_Lemke-Gutmann|32.237200|-94.324719
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|a1eb962a55ef90c25797dce75c5e0165|2022-01-02|23:06:21|1641144981|shopping_net|895.86|1|fraud_Cormier LLC|31.825702|-94.642265
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|55c8548618beb2d02a003eb0c6908a2f|2022-01-02|23:16:18|1641145578|shopping_pos|923.79|1|fraud_Lynch Ltd|31.488461|-94.416639
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|13b159d9c458814ba9aeca28562419b5|2022-01-02|23:43:52|1641147232|shopping_net|981.07|1|fraud_Schumm PLC|32.605695|-95.103238
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|3add47d980f30b9bf666fdbb5a78d422|2022-01-02|23:13:44|1641145424|personal_care|1016.84|1|fraud_Walter, Hettinger and Kessler|31.868039|-94.634682
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|41a28f4f83501d92fa6bb744a949c06c|2022-01-02|13:13:30|1641109410|travel|1218.39|1|fraud_Hahn, Douglas and Schowalter|32.102371|-95.850591
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|7a469f2d6dffd7f05b071206405fa86a|2022-01-02|22:43:04|1641143584|shopping_net|1222.11|1|fraud_Kassulke PLC|30.768583|-95.353587
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|9b68d0e97f141f4e557cefce18f939eb|2022-01-02|22:01:21|1641141081|shopping_pos|1197.55|1|fraud_Macejkovic-Lesch|31.146785|-95.146663
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|00c07d06c1104a677fec5accc0605820|2022-01-02|22:38:24|1641143304|shopping_pos|18.69|1|fraud_Turner and Sons|31.489648|-95.693573
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|31b2408a55034dbeda6c91e623141cc1|2022-01-02|23:55:58|1641147958|shopping_net|21.04|1|fraud_Fisher Inc|31.607439|-94.407569
470-03-5929|3573601579115011|Amanda|Sanders|F|0080 Richard Points|Douglass|TX|75943|31.6578|-94.8696|1262|Teacher, music|2003-06-14|230716055937|young_adults_female_rural.json|eb12056c0635979b4fc28f36cfb5ce52|2022-01-02|23:39:34|1641146974|shopping_net|12.24|1|fraud_Terry-Huel|32.278396|-93.995521
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|2768f6686abeb6bda787856ae56f2e98|2020-02-09|03:45:25|1581200125|grocery_pos|12.46|1|fraud_Goodwin-Nitzsche|43.828237|-97.185340
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|dba7e5fc0a16134f648ff303c56c4e97|2020-02-09|01:34:51|1581192291|gas_transport|12.97|1|fraud_Bartoletti-Wunsch|43.318881|-96.592398
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|f80ef276b216b0c027ca67295cf73993|2020-02-09|01:55:13|1581193513|grocery_pos|332.03|1|fraud_Barton Inc|43.674360|-97.900321
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|0b500562f7b1d777a32d4bcc8c195474|2020-02-09|00:39:35|1581188975|gas_transport|299.98|1|fraud_Stroman, Hudson and Erdman|43.449169|-97.422249
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|583a4f4321104aa7537117aae93a4aca|2020-02-09|02:25:26|1581195326|grocery_pos|297.97|1|fraud_Murray-Smitham|43.088284|-97.399353
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|5a5b8af58034d2f5f2348bc3d08bd0f0|2020-02-09|03:33:15|1581199395|grocery_pos|286.68|1|fraud_Schoen, Kuphal and Nitzsche|42.848329|-97.838366
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|f42d83cee620561573bef4db1d3be7b1|2020-02-09|22:02:15|1581265935|shopping_net|760.75|1|fraud_Boyer-Reichert|43.116449|-96.718717
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|22f2a67bbc7516f65f24642485ba2e75|2020-02-09|17:24:35|1581249275|misc_net|858.16|1|fraud_Koelpin and Sons|43.647583|-97.866759
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|9fa90354aa37d4dabbe309754dc7e5e2|2020-02-09|23:44:29|1581272069|shopping_net|755.95|1|fraud_Heathcote LLC|44.324845|-96.703883
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|d5cafc79509a0e5dab09cc2f4d385801|2020-02-09|22:22:37|1581267157|misc_net|994.60|1|fraud_Kerluke, Kertzmann and Wiza|43.972502|-97.507182
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|6a5cd5b7ec4362bcce1f3aab005953e9|2020-02-10|23:49:30|1581358770|food_dining|1270.26|1|fraud_McCullough, Hudson and Schuster|43.115848|-98.076760
358-82-7587|676330293017|Ashley|Wiley|F|018 Houston Camp Suite 429|Freeman|SD|57029|43.3605|-97.4601|2023|Advice worker|2002-09-18|727573903111|young_adults_female_rural.json|51e5a508329e13d5b45432cd9f39bdeb|2020-02-10|22:22:02|1581353522|entertainment|1054.62|1|fraud_Dibbert-Green|44.248959|-97.517452
