ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|11b1391b64b327b932229c5d569d9ce2|2022-02-18|00:53:27|1645125807|grocery_pos|9.65|1|fraud_Heidenreich PLC|44.004126|-70.304796
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|ed4d794bb593a93abdd57614b492951b|2022-02-18|02:20:56|1645131056|grocery_pos|299.49|1|fraud_Goodwin-Nitzsche|44.263055|-69.779994
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|db80277ee7eba8be267384561f2610e5|2022-02-18|02:45:05|1645132505|gas_transport|301.76|1|fraud_Bins-Rice|45.349884|-70.020588
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|4ad6ba04d6ee7909896c458e7073db91|2022-02-19|22:52:54|1645291374|shopping_net|1095.58|1|fraud_Predovic Inc|44.610110|-69.662333
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|255fe6761078d654d80ff1f1825aee49|2022-02-19|23:42:38|1645294358|shopping_net|975.01|1|fraud_Hills-Witting|45.649129|-69.027350
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|0957e2eea4678d4a7e2383e2e2fd2e52|2022-02-19|22:30:19|1645290019|shopping_pos|1124.58|1|fraud_Morissette PLC|44.353735|-70.145785
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|b104fd1cb4d40b4107df6393e9116a91|2020-03-08|10:51:39|1583644899|gas_transport|65.34|0|fraud_Tillman, Dickinson and Labadie|45.767972|-68.981062
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|a336717c2c67dbb5685821d0350078cd|2020-09-26|00:38:14|1601060894|grocery_pos|55.17|0|fraud_Kiehn Inc|44.969468|-70.312274
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|7b506f5a323e2d4ff84f7f4ffbbf732e|2020-07-17|00:48:20|1594927100|grocery_net|47.96|0|fraud_Kemmer-Reinger|45.747087|-69.578717
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|7b22f834e0f88b1cf3e9f5ef9a70777d|2020-09-23|04:01:58|1600813918|grocery_pos|51.53|0|fraud_Bradtke PLC|44.710709|-69.576755
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|d6db8da0d8f304ecee7607608b9ddb56|2020-09-29|05:47:47|1601338667|grocery_pos|38.59|0|fraud_Pacocha-O'Reilly|45.169650|-68.629145
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|83be3aadb2d7c6aa019d10c72c814caa|2020-03-14|00:21:39|1584125499|gas_transport|49.10|0|fraud_Bernhard Inc|44.417107|-70.116507
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|1966d9f48b3a561232a9af803c4b4773|2020-06-07|07:53:08|1591496588|gas_transport|49.59|0|fraud_Kling Inc|44.168169|-68.680125
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|036753a5752751963dc74ea04014eef2|2020-04-24|06:38:24|1587690504|gas_transport|94.73|0|fraud_Conroy-Cruickshank|45.041127|-69.398882
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|3b2ea505a4cbb28f8ed474da7ee5a27b|2020-02-12|06:38:13|1581469693|gas_transport|79.79|0|fraud_Kutch LLC|45.836639|-69.097618
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|9892c5efffaf39b83520890dba2c49c4|2020-08-01|10:31:02|1596258062|grocery_net|44.85|0|fraud_Roob LLC|44.151248|-68.908125
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|058325bd6acb948b80e02070f90856ad|2020-01-17|10:16:34|1579236394|gas_transport|66.96|0|fraud_Rodriguez Group|45.704262|-70.217291
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|790cda77a4bf7b8e552496b803dbff1e|2020-09-25|04:09:50|1600987190|grocery_pos|77.67|0|fraud_Rowe, Batz and Goodwin|45.670122|-69.016681
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|efd82e175a2f1b59ea1edc5941b9a903|2020-08-15|10:50:21|1597468821|grocery_net|68.92|0|fraud_Dicki Ltd|44.919088|-70.317800
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|f1899c7bea4f6e2743950b1a19b99ec7|2020-09-07|07:17:17|1599443237|grocery_pos|69.92|0|fraud_Wolf Inc|44.495043|-68.672016
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|918ad9a4985116c8825428d4b88e1acf|2020-03-06|09:01:55|1583465515|gas_transport|63.49|0|fraud_Harber Inc|45.681576|-68.826698
534-81-0372|4827567043103856958|Matthew|Buchanan|M|887 Torres Curve Suite 243|Palmyra|ME|04965|44.8576|-69.3811|1976|Radio broadcast assistant|1998-12-13|847346136203|young_adults_male_rural.json|c9ad5f79f4f73fe5762b55fa705313a8|2020-09-28|00:28:09|1601233089|grocery_pos|62.10|0|fraud_Deckow-O'Conner|44.686602|-69.580098
